"Step","30-flat - mask_ratio","30-flat - mask_ratio__MIN","30-flat - mask_ratio__MAX","20-flat - mask_ratio","20-flat - mask_ratio__MIN","20-flat - mask_ratio__MAX","linear-increase - mask_ratio","linear-increase - mask_ratio__MIN","linear-increase - mask_ratio__MAX","linear-decrease - mask_ratio","linear-decrease - mask_ratio__MIN","linear-decrease - mask_ratio__MAX"
"0","0.3","0.3","0.3","0.2","0.2","0.2","0.02","0.02","0.02","0.42000000000000004","0.42000000000000004","0.42000000000000004"
"1","0.3","0.3","0.3","0.2","0.2","0.2","0.03333333333333333","0.03333333333333333","0.03333333333333333","0.40666666666666673","0.40666666666666673","0.40666666666666673"
"2","0.3","0.3","0.3","0.2","0.2","0.2","0.04666666666666667","0.04666666666666667","0.04666666666666667","0.39333333333333337","0.39333333333333337","0.39333333333333337"
"3","0.3","0.3","0.3","0.2","0.2","0.2","0.06000000000000001","0.06000000000000001","0.06000000000000001","0.38000000000000006","0.38000000000000006","0.38000000000000006"
"4","0.3","0.3","0.3","0.2","0.2","0.2","0.07333333333333333","0.07333333333333333","0.07333333333333333","0.3666666666666667","0.3666666666666667","0.3666666666666667"
"5","0.3","0.3","0.3","0.2","0.2","0.2","0.08666666666666667","0.08666666666666667","0.08666666666666667","0.3533333333333334","0.3533333333333334","0.3533333333333334"
"6","0.3","0.3","0.3","0.2","0.2","0.2","0.10000000000000002","0.10000000000000002","0.10000000000000002","0.3400000000000001","0.3400000000000001","0.3400000000000001"
"7","0.3","0.3","0.3","0.2","0.2","0.2","0.11333333333333334","0.11333333333333334","0.11333333333333334","0.32666666666666666","0.32666666666666666","0.32666666666666666"
"8","0.3","0.3","0.3","0.2","0.2","0.2","0.12666666666666668","0.12666666666666668","0.12666666666666668","0.3133333333333334","0.3133333333333334","0.3133333333333334"
"9","0.3","0.3","0.3","0.2","0.2","0.2","0.14","0.14","0.14","0.3","0.3","0.3"
"10","0.3","0.3","0.3","0.2","0.2","0.2","0.15333333333333332","0.15333333333333332","0.15333333333333332","0.28666666666666674","0.28666666666666674","0.28666666666666674"
"11","0.3","0.3","0.3","0.2","0.2","0.2","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.2733333333333334","0.2733333333333334","0.2733333333333334"
"12","0.3","0.3","0.3","0.2","0.2","0.2","0.18000000000000002","0.18000000000000002","0.18000000000000002","0.26","0.26","0.26"
"13","0.3","0.3","0.3","0.2","0.2","0.2","0.19333333333333333","0.19333333333333333","0.19333333333333333","0.24666666666666667","0.24666666666666667","0.24666666666666667"
"14","0.3","0.3","0.3","0.2","0.2","0.2","0.20666666666666667","0.20666666666666667","0.20666666666666667","0.23333333333333334","0.23333333333333334","0.23333333333333334"
"15","0.3","0.3","0.3","0.2","0.2","0.2","0.22","0.22","0.22","0.22","0.22","0.22"
"16","0.3","0.3","0.3","0.2","0.2","0.2","0.23333333333333334","0.23333333333333334","0.23333333333333334","0.20666666666666667","0.20666666666666667","0.20666666666666667"
"17","0.3","0.3","0.3","0.2","0.2","0.2","0.24666666666666667","0.24666666666666667","0.24666666666666667","0.19333333333333333","0.19333333333333333","0.19333333333333333"
"18","0.3","0.3","0.3","0.2","0.2","0.2","0.26","0.26","0.26","0.18000000000000002","0.18000000000000002","0.18000000000000002"
"19","0.3","0.3","0.3","0.2","0.2","0.2","0.2733333333333334","0.2733333333333334","0.2733333333333334","0.16666666666666669","0.16666666666666669","0.16666666666666669"
"20","0.3","0.3","0.3","0.2","0.2","0.2","0.2866666666666667","0.2866666666666667","0.2866666666666667","0.15333333333333335","0.15333333333333335","0.15333333333333335"
"21","0.3","0.3","0.3","0.2","0.2","0.2","0.30000000000000004","0.30000000000000004","0.30000000000000004","0.14","0.14","0.14"
"22","0.3","0.3","0.3","0.2","0.2","0.2","0.31333333333333335","0.31333333333333335","0.31333333333333335","0.12666666666666668","0.12666666666666668","0.12666666666666668"
"23","0.3","0.3","0.3","0.2","0.2","0.2","0.3266666666666667","0.3266666666666667","0.3266666666666667","0.11333333333333333","0.11333333333333333","0.11333333333333333"
"24","0.3","0.3","0.3","0.2","0.2","0.2","0.3400000000000001","0.3400000000000001","0.3400000000000001","0.09999999999999999","0.09999999999999999","0.09999999999999999"
"25","0.3","0.3","0.3","0.2","0.2","0.2","0.35333333333333333","0.35333333333333333","0.35333333333333333","0.08666666666666666","0.08666666666666666","0.08666666666666666"
"26","0.3","0.3","0.3","0.2","0.2","0.2","0.3666666666666667","0.3666666666666667","0.3666666666666667","0.07333333333333332","0.07333333333333332","0.07333333333333332"
"27","0.3","0.3","0.3","0.2","0.2","0.2","0.38000000000000006","0.38000000000000006","0.38000000000000006","0.06","0.06","0.06"
"28","0.3","0.3","0.3","0.2","0.2","0.2","0.39333333333333337","0.39333333333333337","0.39333333333333337","0.04666666666666666","0.04666666666666666","0.04666666666666666"
"29","0.3","0.3","0.3","0.2","0.2","0.2","0.40666666666666673","0.40666666666666673","0.40666666666666673","0.03333333333333333","0.03333333333333333","0.03333333333333333"
