"Step","cosine_increase - mask_ratio","cosine_increase - mask_ratio__MIN","cosine_increase - mask_ratio__MAX","60%_flat - mask_ratio","60%_flat - mask_ratio__MIN","60%_flat - mask_ratio__MAX","cosine_decrease - mask_ratio","cosine_decrease - mask_ratio__MIN","cosine_decrease - mask_ratio__MAX"
"0","0.62","0.62","0.62","0.62","0.62","0.62","0.62","0.62","0.62"
"1","0.6183565686104819","0.6183565686104819","0.6183565686104819","0.6183565686104819","0.6183565686104819","0.6183565686104819","0.6183565686104819","0.6183565686104819","0.6183565686104819"
"2","0.6134442802201417","0.6134442802201417","0.6134442802201417","0.6134442802201417","0.6134442802201417","0.6134442802201417","0.6134442802201417","0.6134442802201417","0.6134442802201417"
"3","0.6053169548885461","0.6053169548885461","0.6053169548885461","0.6053169548885461","0.6053169548885461","0.6053169548885461","0.6053169548885461","0.6053169548885461","0.6053169548885461"
"4","0.5940636372927802","0.5940636372927802","0.5940636372927802","0.5940636372927802","0.5940636372927802","0.5940636372927802","0.5940636372927802","0.5940636372927802","0.5940636372927802"
"5","0.5798076211353317","0.5798076211353317","0.5798076211353317","0.5798076211353317","0.5798076211353317","0.5798076211353317","0.5798076211353317","0.5798076211353317","0.5798076211353317"
"6","0.5627050983124843","0.5627050983124843","0.5627050983124843","0.5627050983124843","0.5627050983124843","0.5627050983124843","0.5627050983124843","0.5627050983124843","0.5627050983124843"
"7","0.5429434476432183","0.5429434476432183","0.5429434476432183","0.5429434476432183","0.5429434476432183","0.5429434476432183","0.5429434476432183","0.5429434476432183","0.5429434476432183"
"8","0.5207391819076574","0.5207391819076574","0.5207391819076574","0.5207391819076574","0.5207391819076574","0.5207391819076574","0.5207391819076574","0.5207391819076574","0.5207391819076574"
"9","0.49633557568774195","0.49633557568774195","0.49633557568774195","0.49633557568774195","0.49633557568774195","0.49633557568774195","0.49633557568774195","0.49633557568774195","0.49633557568774195"
"10","0.47","0.47","0.47","0.47","0.47","0.47","0.47","0.47","0.47"
"11","0.4420209929227401","0.4420209929227401","0.4420209929227401","0.4420209929227401","0.4420209929227401","0.4420209929227401","0.4420209929227401","0.4420209929227401","0.4420209929227401"
"12","0.41270509831248425","0.41270509831248425","0.41270509831248425","0.41270509831248425","0.41270509831248425","0.41270509831248425","0.41270509831248425","0.41270509831248425","0.41270509831248425"
"13","0.3823735072453278","0.3823735072453278","0.3823735072453278","0.3823735072453278","0.3823735072453278","0.3823735072453278","0.3823735072453278","0.3823735072453278","0.3823735072453278"
"14","0.3513585389802961","0.3513585389802961","0.3513585389802961","0.3513585389802961","0.3513585389802961","0.3513585389802961","0.3513585389802961","0.3513585389802961","0.3513585389802961"
"15","0.32","0.32","0.32","0.32","0.32","0.32","0.32","0.32","0.32"
"16","0.288641461019704","0.288641461019704","0.288641461019704","0.288641461019704","0.288641461019704","0.288641461019704","0.288641461019704","0.288641461019704","0.288641461019704"
"17","0.25762649275467225","0.25762649275467225","0.25762649275467225","0.25762649275467225","0.25762649275467225","0.25762649275467225","0.25762649275467225","0.25762649275467225","0.25762649275467225"
"18","0.2272949016875158","0.2272949016875158","0.2272949016875158","0.2272949016875158","0.2272949016875158","0.2272949016875158","0.2272949016875158","0.2272949016875158","0.2272949016875158"
"19","0.19797900707725996","0.19797900707725996","0.19797900707725996","0.19797900707725996","0.19797900707725996","0.19797900707725996","0.19797900707725996","0.19797900707725996","0.19797900707725996"
"20","0.17000000000000004","0.17000000000000004","0.17000000000000004","0.17000000000000004","0.17000000000000004","0.17000000000000004","0.17000000000000004","0.17000000000000004","0.17000000000000004"
"21","0.1436644243122581","0.1436644243122581","0.1436644243122581","0.1436644243122581","0.1436644243122581","0.1436644243122581","0.1436644243122581","0.1436644243122581","0.1436644243122581"
"22","0.11926081809234262","0.11926081809234262","0.11926081809234262","0.11926081809234262","0.11926081809234262","0.11926081809234262","0.11926081809234262","0.11926081809234262","0.11926081809234262"
"23","0.09705655235678179","0.09705655235678179","0.09705655235678179","0.09705655235678179","0.09705655235678179","0.09705655235678179","0.09705655235678179","0.09705655235678179","0.09705655235678179"
"24","0.0772949016875158","0.0772949016875158","0.0772949016875158","0.0772949016875158","0.0772949016875158","0.0772949016875158","0.0772949016875158","0.0772949016875158","0.0772949016875158"
"25","0.06019237886466845","0.06019237886466845","0.06019237886466845","0.06019237886466845","0.06019237886466845","0.06019237886466845","0.06019237886466845","0.06019237886466845","0.06019237886466845"
"26","0.04593636270721978","0.04593636270721978","0.04593636270721978","0.04593636270721978","0.04593636270721978","0.04593636270721978","0.04593636270721978","0.04593636270721978","0.04593636270721978"
"27","0.03468304511145394","0.03468304511145394","0.03468304511145394","0.03468304511145394","0.03468304511145394","0.03468304511145394","0.03468304511145394","0.03468304511145394","0.03468304511145394"
"28","0.026555719779858326","0.026555719779858326","0.026555719779858326","0.026555719779858326","0.026555719779858326","0.026555719779858326","0.026555719779858326","0.026555719779858326","0.026555719779858326"
"29","0.021643431389518013","0.021643431389518013","0.021643431389518013","0.021643431389518013","0.021643431389518013","0.021643431389518013","0.021643431389518013","0.021643431389518013","0.021643431389518013"
