"Step","30-flat - loss_prd","30-flat - loss_prd__MIN","30-flat - loss_prd__MAX","20-flat - loss_prd","20-flat - loss_prd__MIN","20-flat - loss_prd__MAX","linear-increase - loss_prd","linear-increase - loss_prd__MIN","linear-increase - loss_prd__MAX","linear-decrease - loss_prd","linear-decrease - loss_prd__MIN","linear-decrease - loss_prd__MAX"
"0","0.2774632596261515","0.2774632596261515","0.2774632596261515","0.27775214492265166","0.27775214492265166","0.27775214492265166","0.27947596094876753","0.27947596094876753","0.27947596094876753","0.2773613702740435","0.2773613702740435","0.2773613702740435"
"1","0.27299159079264024","0.27299159079264024","0.27299159079264024","0.27345177208549765","0.27345177208549765","0.27345177208549765","0.27620123040414496","0.27620123040414496","0.27620123040414496","0.2726490751612676","0.2726490751612676","0.2726490751612676"
"2","0.26845494733682573","0.26845494733682573","0.26845494733682573","0.2690147709350265","0.2690147709350265","0.2690147709350265","0.2738651246920171","0.2738651246920171","0.2738651246920171","0.26806674046328166","0.26806674046328166","0.26806674046328166"
"3","0.2537792390006246","0.2537792390006246","0.2537792390006246","0.2542669285885023","0.2542669285885023","0.2542669285885023","0.26003596715358945","0.26003596715358945","0.26003596715358945","0.2533402153703149","0.2533402153703149","0.2533402153703149"
"4","0.24860535089267802","0.24860535089267802","0.24860535089267802","0.2488416022230082","0.2488416022230082","0.2488416022230082","0.2542290534838352","0.2542290534838352","0.2542290534838352","0.24830753454469315","0.24830753454469315","0.24830753454469315"
"5","0.2477325265949862","0.2477325265949862","0.2477325265949862","0.24924844422320772","0.24924844422320772","0.24924844422320772","0.2545798422320824","0.2545798422320824","0.2545798422320824","0.24723508361129815","0.24723508361129815","0.24723508361129815"
"6","0.24368562318512615","0.24368562318512615","0.24368562318512615","0.24416106004225274","0.24416106004225274","0.24416106004225274","0.2501038777314923","0.2501038777314923","0.2501038777314923","0.24381966173136962","0.24381966173136962","0.24381966173136962"
"7","0.23949022604337403","0.23949022604337403","0.23949022604337403","0.24030555717874574","0.24030555717874574","0.24030555717874574","0.24541962777783397","0.24541962777783397","0.24541962777783397","0.23918534291566898","0.23918534291566898","0.23918534291566898"
"8","0.2332465224415917","0.2332465224415917","0.2332465224415917","0.23418889971634813","0.23418889971634813","0.23418889971634813","0.23805879669669192","0.23805879669669192","0.23805879669669192","0.23235362133807466","0.23235362133807466","0.23235362133807466"
"9","0.23016288815606528","0.23016288815606528","0.23016288815606528","0.23072662559615179","0.23072662559615179","0.23072662559615179","0.235869565390349","0.235869565390349","0.235869565390349","0.2298925927278536","0.2298925927278536","0.2298925927278536"
"10","0.22969157946587518","0.22969157946587518","0.22969157946587518","0.22972232015298694","0.22972232015298694","0.22972232015298694","0.23490211090094318","0.23490211090094318","0.23490211090094318","0.22866937757988695","0.22866937757988695","0.22866937757988695"
"11","0.22676633593434367","0.22676633593434367","0.22676633593434367","0.2263700978869558","0.2263700978869558","0.2263700978869558","0.23299963344741642","0.23299963344741642","0.23299963344741642","0.2256153650674258","0.2256153650674258","0.2256153650674258"
"12","0.21813202362884376","0.21813202362884376","0.21813202362884376","0.21915633956979932","0.21915633956979932","0.21915633956979932","0.224229593076992","0.224229593076992","0.224229593076992","0.21746920878387532","0.21746920878387532","0.21746920878387532"
"13","0.21681311109089044","0.21681311109089044","0.21681311109089044","0.21747915327285935","0.21747915327285935","0.21747915327285935","0.22238805565364544","0.22238805565364544","0.22238805565364544","0.21692628858340832","0.21692628858340832","0.21692628858340832"
"14","0.221224342012522","0.221224342012522","0.221224342012522","0.22184795245194083","0.22184795245194083","0.22184795245194083","0.22662432421148107","0.22662432421148107","0.22662432421148107","0.22131528446614343","0.22131528446614343","0.22131528446614343"
"15","0.21022255208151316","0.21022255208151316","0.21022255208151316","0.21039531239137793","0.21039531239137793","0.21039531239137793","0.21649012303740525","0.21649012303740525","0.21649012303740525","0.20915235920297337","0.20915235920297337","0.20915235920297337"
"16","0.20656568033066186","0.20656568033066186","0.20656568033066186","0.20802733954148836","0.20802733954148836","0.20802733954148836","0.21286966972735546","0.21286966972735546","0.21286966972735546","0.2064585725375174","0.2064585725375174","0.2064585725375174"
"17","0.20480551970233957","0.20480551970233957","0.20480551970233957","0.20582714579494685","0.20582714579494685","0.20582714579494685","0.21011928293377674","0.21011928293377674","0.21011928293377674","0.2049086530547134","0.2049086530547134","0.2049086530547134"
"18","0.20089837521357276","0.20089837521357276","0.20089837521357276","0.20406767808021764","0.20406767808021764","0.20406767808021764","0.20835863378908456","0.20835863378908456","0.20835863378908456","0.20152111619156393","0.20152111619156393","0.20152111619156393"
"19","0.1965055720450513","0.1965055720450513","0.1965055720450513","0.19836905063378787","0.19836905063378787","0.19836905063378787","0.20253539610447946","0.20253539610447946","0.20253539610447946","0.19731422278795477","0.19731422278795477","0.19731422278795477"
