"Step","linear-decrease - loss_mrtd","linear-decrease - loss_mrtd__MIN","linear-decrease - loss_mrtd__MAX","linear-increase - loss_mrtd","linear-increase - loss_mrtd__MIN","linear-increase - loss_mrtd__MAX","cosine-increase - loss_mrtd","cosine-increase - loss_mrtd__MIN","cosine-increase - loss_mrtd__MAX","cosine-decrease - loss_mrtd","cosine-decrease - loss_mrtd__MIN","cosine-decrease - loss_mrtd__MAX","2-flat - loss_mrtd","2-flat - loss_mrtd__MIN","2-flat - loss_mrtd__MAX","25-flat - loss_mrtd","25-flat - loss_mrtd__MIN","25-flat - loss_mrtd__MAX","20-flat - loss_mrtd","20-flat - loss_mrtd__MIN","20-flat - loss_mrtd__MAX","40-flat - loss_mrtd","40-flat - loss_mrtd__MIN","40-flat - loss_mrtd__MAX","15-flat - loss_mrtd","15-flat - loss_mrtd__MIN","15-flat - loss_mrtd__MAX","30-flat - loss_mrtd","30-flat - loss_mrtd__MIN","30-flat - loss_mrtd__MAX"
"0","0.3915703129421436","0.3915703129421436","0.3915703129421436","0.10606355135158443","0.10606355135158443","0.10606355135158443","0.12993775415483094","0.12993775415483094","0.12993775415483094","0.42532041222425815","0.42532041222425815","0.42532041222425815","0.12993775415483094","0.12993775415483094","0.12993775415483094","0.328308408582256","0.328308408582256","0.328308408582256","0.28751391586172215","0.28751391586172215","0.28751391586172215","0.42347913195613685","0.42347913195613685","0.42347913195613685","0.23955969963194304","0.23955969963194304","0.23955969963194304","0.35892772602045353","0.35892772602045353","0.35892772602045353"
"1","0.33383707176069266","0.33383707176069266","0.33383707176069266","0.0957700626103506","0.0957700626103506","0.0957700626103506","0.10294717566095975","0.10294717566095975","0.10294717566095975","0.35781595173455377","0.35781595173455377","0.35781595173455377","0.10205217306715443","0.10205217306715443","0.10205217306715443","0.26788827631878487","0.26788827631878487","0.26788827631878487","0.23392579516836706","0.23392579516836706","0.23392579516836706","0.35856100980846484","0.35856100980846484","0.35856100980846484","0.19738123447897324","0.19738123447897324","0.19738123447897324","0.2999361925083035","0.2999361925083035","0.2999361925083035"
"2","0.31309317207347803","0.31309317207347803","0.31309317207347803","0.10002746294067731","0.10002746294067731","0.10002746294067731","0.09278682510915945","0.09278682510915945","0.09278682510915945","0.3396546924415663","0.3396546924415663","0.3396546924415663","0.08978295639576746","0.08978295639576746","0.08978295639576746","0.25279851374394113","0.25279851374394113","0.25279851374394113","0.2195727029275007","0.2195727029275007","0.2195727029275007","0.3396846027262793","0.3396846027262793","0.3396846027262793","0.18404282009556094","0.18404282009556094","0.18404282009556094","0.283776504151125","0.283776504151125","0.283776504151125"
"3","0.2974116223459025","0.2974116223459025","0.2974116223459025","0.10575699595528307","0.10575699595528307","0.10575699595528307","0.08925760885920973","0.08925760885920973","0.08925760885920973","0.320809161816617","0.320809161816617","0.320809161816617","0.08350589667368709","0.08350589667368709","0.08350589667368709","0.2448940009291049","0.2448940009291049","0.2448940009291049","0.2132814406410201","0.2132814406410201","0.2132814406410201","0.3273865371686584","0.3273865371686584","0.3273865371686584","0.18066822563987653","0.18066822563987653","0.18066822563987653","0.2777339388680367","0.2777339388680367","0.2777339388680367"
"4","0.2839147141075316","0.2839147141075316","0.2839147141075316","0.1121398855217569","0.1121398855217569","0.1121398855217569","0.09600286607502583","0.09600286607502583","0.09600286607502583","0.311483814061143","0.311483814061143","0.311483814061143","0.08517234983235483","0.08517234983235483","0.08517234983235483","0.2388007167428163","0.2388007167428163","0.2388007167428163","0.20865204867743353","0.20865204867743353","0.20865204867743353","0.31945633615246255","0.31945633615246255","0.31945633615246255","0.1737580120648819","0.1737580120648819","0.1737580120648819","0.26684829530142645","0.26684829530142645","0.26684829530142645"
"5","0.2712253703728659","0.2712253703728659","0.2712253703728659","0.118296793876358","0.118296793876358","0.118296793876358","0.0981016993959868","0.0981016993959868","0.0981016993959868","0.3000642999238868","0.3000642999238868","0.3000642999238868","0.08146464245532505","0.08146464245532505","0.08146464245532505","0.23362611379218465","0.23362611379218465","0.23362611379218465","0.20282328914751419","0.20282328914751419","0.20282328914751419","0.31536675507615086","0.31536675507615086","0.31536675507615086","0.17157073375832943","0.17157073375832943","0.17157073375832943","0.2616363965287691","0.2616363965287691","0.2616363965287691"
"6","0.2599883696192321","0.2599883696192321","0.2599883696192321","0.12455084500123413","0.12455084500123413","0.12455084500123413","0.10377901937734364","0.10377901937734364","0.10377901937734364","0.2913018219201392","0.2913018219201392","0.2913018219201392","0.07977478023803303","0.07977478023803303","0.07977478023803303","0.22664362413965108","0.22664362413965108","0.22664362413965108","0.19753524821024132","0.19753524821024132","0.19753524821024132","0.30961285955237067","0.30961285955237067","0.30961285955237067","0.1668853209218906","0.1668853209218906","0.1668853209218906","0.25626432975284924","0.25626432975284924","0.25626432975284924"
"7","0.24850379211529522","0.24850379211529522","0.24850379211529522","0.1286444306800156","0.1286444306800156","0.1286444306800156","0.1087550763254061","0.1087550763254061","0.1087550763254061","0.2803793861352988","0.2803793861352988","0.2803793861352988","0.0773494775666507","0.0773494775666507","0.0773494775666507","0.22622199109151164","0.22622199109151164","0.22622199109151164","0.1955373829998474","0.1955373829998474","0.1955373829998474","0.30410250975885467","0.30410250975885467","0.30410250975885467","0.16377403204620794","0.16377403204620794","0.16377403204620794","0.2528302167890636","0.2528302167890636","0.2528302167890636"
"8","0.2380972667462157","0.2380972667462157","0.2380972667462157","0.13575082582186992","0.13575082582186992","0.13575082582186992","0.11644747414988757","0.11644747414988757","0.11644747414988757","0.2672492957012799","0.2672492957012799","0.2672492957012799","0.07625974076693408","0.07625974076693408","0.07625974076693408","0.2202049503173992","0.2202049503173992","0.2202049503173992","0.1913094944640539","0.1913094944640539","0.1913094944640539","0.30204900543255203","0.30204900543255203","0.30204900543255203","0.1611249675611674","0.1611249675611674","0.1611249675611674","0.24983987099853636","0.24983987099853636","0.24983987099853636"
"9","0.22857433276265177","0.22857433276265177","0.22857433276265177","0.14229942965285697","0.14229942965285697","0.14229942965285697","0.1252802184690501","0.1252802184690501","0.1252802184690501","0.25771224368647994","0.25771224368647994","0.25771224368647994","0.0740937280241144","0.0740937280241144","0.0740937280241144","0.2191572334077067","0.2191572334077067","0.2191572334077067","0.18938019653099752","0.18938019653099752","0.18938019653099752","0.2979627420969364","0.2979627420969364","0.2979627420969364","0.16087877782388726","0.16087877782388726","0.16087877782388726","0.24958901398082953","0.24958901398082953","0.24958901398082953"
