"Step","cosine-increase - m-rtd_mask_ratio","cosine-increase - m-rtd_mask_ratio__MIN","cosine-increase - m-rtd_mask_ratio__MAX","cosine-decrease - m-rtd_mask_ratio","cosine-decrease - m-rtd_mask_ratio__MIN","cosine-decrease - m-rtd_mask_ratio__MAX","2-flat - m-rtd_mask_ratio","2-flat - m-rtd_mask_ratio__MIN","2-flat - m-rtd_mask_ratio__MAX","25-flat - m-rtd_mask_ratio","25-flat - m-rtd_mask_ratio__MIN","25-flat - m-rtd_mask_ratio__MAX","20-flat - m-rtd_mask_ratio","20-flat - m-rtd_mask_ratio__MIN","20-flat - m-rtd_mask_ratio__MAX","40-flat - m-rtd_mask_ratio","40-flat - m-rtd_mask_ratio__MIN","40-flat - m-rtd_mask_ratio__MAX","15-flat - m-rtd_mask_ratio","15-flat - m-rtd_mask_ratio__MIN","15-flat - m-rtd_mask_ratio__MAX","30-flat - m-rtd_mask_ratio","30-flat - m-rtd_mask_ratio__MIN","30-flat - m-rtd_mask_ratio__MAX","35-flat - m-rtd_mask_ratio","35-flat - m-rtd_mask_ratio__MIN","35-flat - m-rtd_mask_ratio__MAX"
"0","0.02","0.02","0.02","0.4","0.4","0.4","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"1","0.021040839880028077","0.021040839880028077","0.021040839880028077","0.39895916011997196","0.39895916011997196","0.39895916011997196","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"2","0.024151955860576918","0.024151955860576918","0.024151955860576918","0.3958480441394231","0.3958480441394231","0.3958480441394231","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"3","0.029299261903920827","0.029299261903920827","0.029299261903920827","0.3907007380960792","0.3907007380960792","0.3907007380960792","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"4","0.036426363047905835","0.036426363047905835","0.036426363047905835","0.3835736369520942","0.3835736369520942","0.3835736369520942","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"5","0.04545517328095665","0.04545517328095665","0.04545517328095665","0.3745448267190434","0.3745448267190434","0.3745448267190434","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"6","0.05628677106875998","0.05628677106875998","0.05628677106875998","0.36371322893124003","0.36371322893124003","0.36371322893124003","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"7","0.06880248315929509","0.06880248315929509","0.06880248315929509","0.35119751684070494","0.35119751684070494","0.35119751684070494","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"8","0.08286518479181694","0.08286518479181694","0.08286518479181694","0.3371348152081831","0.3371348152081831","0.3371348152081831","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"9","0.09832080206443011","0.09832080206443011","0.09832080206443011","0.3216791979355699","0.3216791979355699","0.3216791979355699","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"10","0.11499999999999998","0.11499999999999998","0.11499999999999998","0.30500000000000005","0.30500000000000005","0.30500000000000005","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"11","0.13272003781559794","0.13272003781559794","0.13272003781559794","0.2872799621844021","0.2872799621844021","0.2872799621844021","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"12","0.15128677106875998","0.15128677106875998","0.15128677106875998","0.26871322893124","0.26871322893124","0.26871322893124","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"13","0.17049677874462574","0.17049677874462574","0.17049677874462574","0.24950322125537425","0.24950322125537425","0.24950322125537425","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"14","0.19013959197914584","0.19013959197914584","0.19013959197914584","0.22986040802085417","0.22986040802085417","0.22986040802085417","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"15","0.20999999999999996","0.20999999999999996","0.20999999999999996","0.21","0.21","0.21","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"16","0.2298604080208541","0.2298604080208541","0.2298604080208541","0.19013959197914587","0.19013959197914587","0.19013959197914587","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"17","0.24950322125537425","0.24950322125537425","0.24950322125537425","0.17049677874462574","0.17049677874462574","0.17049677874462574","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"18","0.26871322893124","0.26871322893124","0.26871322893124","0.15128677106875998","0.15128677106875998","0.15128677106875998","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"19","0.28727996218440205","0.28727996218440205","0.28727996218440205","0.132720037815598","0.132720037815598","0.132720037815598","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"20","0.305","0.305","0.305","0.11500000000000005","0.11500000000000005","0.11500000000000005","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"21","0.32167919793556987","0.32167919793556987","0.32167919793556987","0.09832080206443013","0.09832080206443013","0.09832080206443013","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"22","0.337134815208183","0.337134815208183","0.337134815208183","0.08286518479181701","0.08286518479181701","0.08286518479181701","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"23","0.351197516840705","0.351197516840705","0.351197516840705","0.06880248315929507","0.06880248315929507","0.06880248315929507","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"24","0.36371322893124003","0.36371322893124003","0.36371322893124003","0.05628677106876001","0.05628677106876001","0.05628677106876001","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"25","0.3745448267190434","0.3745448267190434","0.3745448267190434","0.04545517328095665","0.04545517328095665","0.04545517328095665","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"26","0.38357363695209423","0.38357363695209423","0.38357363695209423","0.036426363047905815","0.036426363047905815","0.036426363047905815","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"27","0.3907007380960792","0.3907007380960792","0.3907007380960792","0.029299261903920827","0.029299261903920827","0.029299261903920827","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"28","0.3958480441394231","0.3958480441394231","0.3958480441394231","0.024151955860576918","0.024151955860576918","0.024151955860576918","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
"29","0.39895916011997196","0.39895916011997196","0.39895916011997196","0.021040839880028077","0.021040839880028077","0.021040839880028077","0.02","0.02","0.02","0.25","0.25","0.25","0.2","0.2","0.2","0.4","0.4","0.4","0.15","0.15","0.15","0.3","0.3","0.3","0.35","0.35","0.35"
